p_fatal,실제
0.04306349045277428,경+중등도
0.24135045042120698,경+중등도
0.11105642342649001,경+중등도
0.5129212787445897,경+중등도
0.13120749267235746,경+중등도
0.18355452465913694,경+중등도
0.08455880852847596,경+중등도
0.13199306855659154,경+중등도
0.05061135952815685,경+중등도
0.3209381603826826,중상
0.7414090002986505,경+중등도
0.042318983780056406,경+중등도
0.3302670922806486,경+중등도
0.7859375634773915,경+중등도
0.7210213018209429,치명
0.6884140648315841,치명
0.1494445945174255,경+중등도
0.21408610752401014,경+중등도
0.04181554335309051,중상
0.22873450010438914,경+중등도
0.007603151789952525,경+중등도
0.1114521564943391,경+중등도
0.08719274086383567,중상
0.11643362156021993,경+중등도
0.12304281250190034,경+중등도
0.1254879217035173,경+중등도
0.04319297069889949,중상
0.8576891789984669,치명
0.034708113820525,중상
0.01243567402512871,경+중등도
0.2572005752034066,경+중등도
0.4244395986703884,경+중등도
0.08858659599038525,경+중등도
0.05518302260741718,경+중등도
0.5075070487309357,중상
0.014494085070694445,경+중등도
0.3821951532964824,경+중등도
0.011611013866989206,경+중등도
0.14148566202421922,경+중등도
0.2354409324904183,경+중등도
0.20544374834238951,경+중등도
0.3601202548969485,경+중등도
0.458266124889152,경+중등도
0.06591177488527956,경+중등도
0.21351702125746896,경+중등도
0.22645104545070785,경+중등도
0.06950004031863612,경+중등도
0.2226433870880422,경+중등도
0.21181202942634555,경+중등도
0.048735663561942054,경+중등도
0.021188629757920557,중상
0.41969661122437346,경+중등도
0.1628646518259188,경+중등도
0.25787877591730374,중상
0.21333949227444163,경+중등도
0.04990842720051103,경+중등도
0.8389577748820186,경+중등도
0.12477073820097846,경+중등도
0.04629872780460912,경+중등도
0.09228174802835105,경+중등도
0.30472394145326037,경+중등도
0.7200171428174548,치명
0.6900077073116436,중상
0.32294486729213223,경+중등도
0.5441323976144085,치명
0.14162828269713348,경+중등도
0.6272245268430523,중상
0.36264006816978106,경+중등도
0.2104044365927896,경+중등도
0.18872606962824368,경+중등도
0.2636258169387209,경+중등도
0.15201231397069395,경+중등도
0.39783323631906864,경+중등도
0.09549748749861121,경+중등도
0.13350108098367175,경+중등도
0.07764870693856742,경+중등도
0.05209699756270717,경+중등도
0.10411598497169049,경+중등도
0.09456208809895465,중상
0.07636428511348631,경+중등도
0.16013846466007664,경+중등도
0.8598772409517564,경+중등도
0.20418231081573132,경+중등도
0.17548177591585193,경+중등도
0.11822010808975943,경+중등도
0.016857016551054534,중상
0.0886495785247201,경+중등도
0.007589567645615028,중상
0.4102587589070868,경+중등도
0.13782511041420256,경+중등도
0.13650894726171592,경+중등도
0.19425233928964605,경+중등도
0.09677741843474996,경+중등도
0.584393685168538,치명
0.36742688217615527,중상
0.258269524093456,경+중등도
0.300072845025682,경+중등도
0.3147841726193092,경+중등도
0.020662798605765677,경+중등도
0.18815933804463733,경+중등도
0.1959701877167166,경+중등도
0.4420278774092576,경+중등도
0.11123232232277558,경+중등도
0.013764717178911165,경+중등도
0.7102736193107985,치명
0.1598828199229426,경+중등도
0.10996492152801962,경+중등도
0.004915564876001237,경+중등도
0.07055424609144574,중상
0.02372825560895934,중상
0.40796836656662677,경+중등도
0.7297098017015529,경+중등도
0.058089591328541586,중상
0.23294680303081225,경+중등도
0.4020617618136717,경+중등도
0.33806444019960685,경+중등도
0.13520538275382357,경+중등도
0.19026642348912803,경+중등도
0.24643955185195962,치명
0.8275153044665631,중상
0.6564824330007301,경+중등도
0.30479405296488626,경+중등도
0.831561626789083,경+중등도
0.5596117695101853,경+중등도
0.1976318545783152,경+중등도
0.14285010004954166,경+중등도
0.3083326427741173,경+중등도
0.6857777691934266,치명
0.21326306911952944,경+중등도
0.16264914642181616,경+중등도
0.05567800962614308,경+중등도
0.019640601849545806,경+중등도
0.2703381942584986,경+중등도
0.09223356242487968,경+중등도
0.48205913182392107,경+중등도
0.3714641254221282,경+중등도
0.08561409209187226,경+중등도
0.09124360709485146,경+중등도
0.5160571077860655,경+중등도
0.14589453484058099,경+중등도
0.08675113810262115,경+중등도
0.6286163917370112,경+중등도
0.02521877297708383,경+중등도
0.1675108153395808,경+중등도
0.21677577101949264,경+중등도
0.4795803577328454,중상
0.1136249169871021,경+중등도
0.06212648197083109,경+중등도
0.49639031776522863,경+중등도
0.07618094739009158,경+중등도
0.31320841433370544,경+중등도
