P_끼임(Caught-in),P_절단·베임·찔림(Cut),P_추락·압착(Falls),P_물체에 맞음(Struck-by),P_전도·충돌(Trips/Struck-against),실제
0.20001645386219025,0.06212981417775154,0.15625552833080292,0.22350911796092987,0.35808905959129333,전도·충돌(Trips/Struck-against)
0.03152226656675339,0.031227687373757362,0.43553626537323,0.034438807517290115,0.4672750234603882,추락·압착(Falls)
0.29730862379074097,0.05777592584490776,0.3804589509963989,0.14039573073387146,0.1240607276558876,추락·압착(Falls)
0.2652142345905304,0.09017820656299591,0.06729073822498322,0.2874167859554291,0.2899000346660614,전도·충돌(Trips/Struck-against)
0.09866037219762802,0.07277712970972061,0.5243774652481079,0.18782100081443787,0.1163640171289444,전도·충돌(Trips/Struck-against)
0.05561164766550064,0.03134072944521904,0.1272103637456894,0.026206588372588158,0.7596306800842285,전도·충돌(Trips/Struck-against)
0.3144378066062927,0.04196854308247566,0.1093592643737793,0.29268205165863037,0.24155232310295105,물체에 맞음(Struck-by)
0.17081935703754425,0.06027716398239136,0.3312263786792755,0.11903414875268936,0.3186429440975189,추락·압착(Falls)
0.2274494171142578,0.09138739854097366,0.4716959595680237,0.06562335044145584,0.14384382963180542,추락·압착(Falls)
0.1789376437664032,0.515448808670044,0.14059260487556458,0.10168252885341644,0.06333842873573303,절단·베임·찔림(Cut)
0.029670752584934235,0.011146419681608677,0.8165144324302673,0.02997010014951229,0.11269824951887131,전도·충돌(Trips/Struck-against)
0.08326525241136551,0.06660109758377075,0.1056559756398201,0.2521907389163971,0.49228695034980774,물체에 맞음(Struck-by)
0.10992912203073502,0.827311635017395,0.0050531974993646145,0.04584706574678421,0.011859006248414516,끼임(Caught-in)
0.07744354009628296,0.1563955396413803,0.5296578407287598,0.08007829636335373,0.15642477571964264,전도·충돌(Trips/Struck-against)
0.3260267376899719,0.14087475836277008,0.1878182291984558,0.24605527520179749,0.09922495484352112,물체에 맞음(Struck-by)
0.08918654173612595,0.2903329133987427,0.4685306251049042,0.03492114320397377,0.11702878028154373,끼임(Caught-in)
0.05853261053562164,0.12863898277282715,0.3214302361011505,0.06386741250753403,0.42753079533576965,전도·충돌(Trips/Struck-against)
0.24811716377735138,0.06276655197143555,0.1884741634130478,0.3822093605995178,0.11843272298574448,추락·압착(Falls)
0.33666756749153137,0.22316709160804749,0.10389768332242966,0.16171352565288544,0.17455407977104187,절단·베임·찔림(Cut)
0.24034853279590607,0.0784684345126152,0.19106881320476532,0.2868894338607788,0.2032247632741928,절단·베임·찔림(Cut)
